Malic_Acid,Ash,Ash_Alcalinity,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280,Proline,Alcohol
1,2.5630284890698993,16.253512210697632,125,12,94.1083812094825,0.4069961093612818,2,5.147963630052679,1.0834890261100145,13.948293777086993,402,1663.9565986509483
2,1.659442436129063,14.156831960305366,107,16,108.89181780507963,0.2195990568570872,1,0.03527097797966561,0.8665866094374801,14.232874410192611,502,1901.3800705140038
1,2.158097528507263,17.31711374473362,122,18,91.45238060426497,0.4876592587968955,4,6.728934258596389,0.952168695408801,13.681735766926382,256,1712.4419059619363
6,2.0132722419722255,19.918116824228544,136,15,118.83959492938175,0.31748271314701937,4,2.2597657079925555,0.9954931831812389,15.821596015319582,291,1815.3441463041893
4,2.009153847304094,20.39118354036855,129,14,92.27261740833444,0.15278770348927562,2,5.314882083981225,1.1307545344176002,13.612074887678743,401,1675.5910256338036
3,2.0799650400756455,19.995737700714354,130,14,88.43548662144397,0.32899268501283196,2,6.561761542984136,1.0948884371786858,13.810008732672506,562,1765.9091727940875
2,1.5112704425398829,19.910166534721427,88,18,111.54723478221035,0.27405627853162196,3,7.209159139754529,0.8033252848166659,14.159035249772959,329,1729.6990498590726
6,2.0235355134767476,18.032239164256296,99,11,92.58577561819875,0.17764380916594052,3,2.575534319184405,0.8981082222206743,17.94488323374939,319,1641.692950464481
6,2.0332656915695373,20.10009003994049,101,14,108.90986401400637,0.06431125108108748,3,7.153115014565963,1.2073325712023057,15.61480863074202,253,1723.853774011949
5,2.1370960884108,15.396694866113963,90,12,109.76969878602506,0.31733273160642306,2,5.236001490669506,1.2716976455571691,14.161217044015906,378,1747.3336393671557
3,1.926155360658374,18.210594559329174,126,15,88.53200336326772,0.40046413623738414,1,3.710579539505688,1.006537455032027,12.203735813101822,422,1618.9340949101718
7,1.6737347373527078,20.215809239554765,117,16,107.53655252907296,0.30147821280795684,4,7.43637373240899,0.91349819430804,12.382189541800068,170,1659.394887275401
7,2.2819864149104934,18.405785980667712,89,5,102.48618758987965,0.034182033751921394,4,4.352636786284668,1.0702915822642365,14.696602686219535,496,1718.5847698674993
3,1.7732566335735958,13.100606247680828,127,13,104.14334783888347,0.13004322929336481,2,6.768428587238679,1.2069302967942044,16.702261508633836,429,1870.162650927207
1,2.2073148194235923,15.780516854611035,120,4,104.64670541188839,0.03341679385725124,1,4.311840317996743,1.0340673575617276,13.0877579380752,265,1446.971533125474
5,2.554418764370043,20.193076916800994,109,11,100.73779272194676,0.0634341873282449,6,2.635448066001577,1.1994273190736118,16.068220767074916,130,1652.9166576771106
6,2.1971186573471018,14.244314883928991,87,15,98.42295404976899,0.18298173529352302,6,3.893552504635036,0.9122798719543765,14.237532194122089,129,1477.6885812473251
4,2.0001179085879124,16.50940138780193,125,12,103.91794519285683,0.010761152082674152,2,5.3967140083931575,1.113867683820039,15.757226144522521,115,1565.160532113894
5,1.7425355758890304,18.35071303104929,87,18,106.20363146240408,0.17294016191499276,3,6.567865881128325,1.0427592312819858,15.05764216132479,427,1743.0363880396515
3,2.0756057924456948,17.53199998436381,105,16,105.86206754421211,0.1606248852565849,2,6.412507252490734,0.7158883307423126,16.88891797423879,293,1732.1791704538673
1,1.6972434301361778,17.62928286205837,89,6,81.65726710843488,0.18405986902415497,1,8.287386964951565,0.9634707719913472,14.538961840485436,186,1308.4770528145245
3,1.9765696439302993,18.67995159779653,104,18,117.21826075441352,0.1777854229124323,1,4.135497398338574,0.9160958612055544,14.530968032035318,206,1813.2096131544497
1,1.999460811367125,17.881399439203285,114,12,73.2755631342381,0.12516866517745026,2,5.031826081622988,0.9906156611204844,14.597272042516312,561,1700.7905391515396
1,1.8591718673256385,20.823265295456377,121,9,98.1417396431728,0.1011771208895024,4,5.311572351153328,1.114674689467786,13.322426210441519,165,1509.643217554466
5,1.802796020970577,23.01641944796209,133,12,92.11928097398624,0.1654098868995921,6,6.056412166411633,1.0612977540113906,13.35518597542677,192,1404.925686207594
6,1.7259799430314322,18.780803674813928,91,3,89.57353387873489,0.08731184150915401,3,7.025239263617085,0.9438648927596294,12.960910437834409,460,1507.3807442305372
5,1.882775115347527,15.901086407926382,112,14,104.35211344756505,0.1769176976913137,1,5.4521064040532785,0.9134229778788369,15.566042786980239,578,1927.3470467166612
1,2.1084985216946857,16.61536076033049,113,4,97.22467132058955,0.10936690677295426,6,7.665113763956131,0.9986383834764656,14.262917000102005,502,1669.3941341921648
4,1.302399291823355,19.859258140309993,89,12,101.84620271973354,0.44282984376115286,1,3.5060302935090224,1.0591027636655213,15.077355810285097,277,1615.6679098592697
7,2.1693302847001497,17.7278786778229,133,8,79.25808740611116,0.17782830942895267,1,6.049147098021471,1.158630135551863,14.868522718134514,525,1713.5433728996434
1,1.9014253082234231,15.476905123811346,88,5,88.77817942103097,0.05752585815560432,6,4.913975931429645,0.9465935738955669,13.086317902853834,516,1687.8881074099738
5,2.462100936539469,18.896685331669516,105,10,98.1128726982593,0.19837636914076942,2,1.2504057101244874,1.195305944511299,11.88580599520225,236,1490.147152951257
4,1.6661166537343086,16.832539480999156,124,3,91.32077065624902,0.3136605501519703,2,2.633192970293295,0.9585302390022826,11.492602697623273,428,1515.0768231027964
1,2.1717120482114676,16.841845160819467,92,4,74.40393865247704,0.2756618480313204,5,5.018041541817604,1.127834447624958,12.55498043111975,197,1254.2051841534444
1,2.584161222538348,17.883292590918344,95,13,88.28603206367346,0.1795351196929093,4,5.6968773828589025,0.8572588573902369,15.727511429652306,167,1515.5218307064963
2,2.1777224041746197,20.913313018818084,97,16,100.77160054412161,0.06671543346730288,2,6.237167196438749,0.7378700805197561,15.47221935201975,226,1621.6207886527523
3,2.198768966491051,17.331762425943133,103,3,106.97225946034891,0.1772192522533984,4,3.9384275264548974,0.8204853202061669,14.813115841507127,316,1608.3660814501695
6,1.8280392519705535,15.870915033983874,99,4,104.28606663194782,0.16007878726290592,3,7.848545378292568,0.8457457122024279,12.205534153245537,470,1595.589253218104
4,2.0101409069058795,19.197800946412823,115,8,102.63338805364118,0.1290831938807319,3,4.297276076992017,1.1516305202907218,9.5490503790476,554,1813.990918494708
5,1.3778292472951654,14.654840525094636,91,14,78.46006399964877,0.42965886971306333,2,7.040380315194157,0.9231214809223405,14.556048209906855,141,1370.192673160313
4,2.0438614551472214,15.37409538178778,125,13,103.59034138543386,0.21113193177637385,4,4.998070340682301,1.1211287228717353,14.411871946255783,198,1554.9946809044002
6,1.6738633291742202,15.372204901743732,129,9,71.98202712331779,0.15832280290048098,2,5.353734952932694,0.9507551344995565,13.368438468447884,362,1343.4491226294856
3,2.2144301273734084,18.506086776901725,130,12,85.15998560254626,0.23094147676957585,5,6.19045824293499,1.0609251222863008,12.624177791897637,529,1700.6171767900194
1,2.0010176443206196,19.71204964735757,113,3,102.8896489353037,0.24512475362921757,2,4.269159874365644,1.3163346458961258,12.758271447502288,292,1440.7142301496847
5,2.005357682870443,17.199181139419412,98,16,94.59834295451746,0.18423732403837625,1,3.2960936444423066,1.0047365192730984,13.116915174219155,379,1719.7566678677224
7,1.5889490715158001,17.50174318329564,117,11,97.90064390533392,0.3345305705454596,6,7.822356895218377,1.1140554286306643,13.885130751623453,430,1740.5714744191873
7,1.489643139240467,16.956506191090046,118,10,106.7712884913943,0.2630728536590301,2,3.130304088285226,1.1858779381878142,17.94079617501183,524,1946.6139490904984
3,1.9830148589996957,16.956248104843414,125,10,93.28472838354362,0.3001525713517283,2,8.246614942959264,1.140724907926889,13.361686834192707,244,1503.682426747236
6,2.0629470107602175,20.810754677990047,96,8,107.47821963488724,0.0798887039424621,4,2.9047355610999097,0.8879226185890233,12.240194470229866,268,1550.2010074941097
3,1.7520616582334843,17.794584814624574,132,5,79.28523485075817,0.5121327596024117,3,3.640787302242067,0.9776570227469228,16.27473723376602,340,1469.1592211412067
3,1.606287266396254,18.0223291058748,108,9,96.39956650795298,0.12572145657030798,5,3.140722974627372,0.9998701718569425,15.862260381923027,213,1552.8958501349218
6,2.1082486101584315,20.482639261695613,134,5,100.53030000642192,0.11318424576727706,4,4.7703636356779375,0.9674148050696993,13.42622615348302,111,1248.9782193284464
7,1.793324724449959,16.718149269935537,119,8,118.39542542572134,0.23927966170037862,3,5.702611306149685,1.030365544373072,17.230015354067607,479,1844.6787284369873
4,1.6541530087324725,17.77745535794118,94,12,100.4541861620614,0.38958689936052165,5,3.694477459355414,0.8631947641251018,14.504962724634904,203,1538.8915272915951
2,2.057112287836515,20.903798418255835,121,17,93.0909102559676,0.23269374960360037,2,4.160745943018588,0.8313921456410485,12.823288871682369,353,1609.461538911993
3,1.836760869558226,20.575243361522514,113,4,83.93008125571765,0.10152916631935524,6,5.372584233106879,0.8821123791111557,12.933189429210152,544,1654.0952002091865
3,1.905145161460608,20.15069936569344,119,10,90.11535666088446,0.2557379027860087,1,5.063478235681055,1.0487162313635603,10.370345792722917,181,1282.5397862204534
2,1.7702342334100698,16.30481693279927,105,8,88.85497957287971,0.3319975840844797,6,5.537185887274273,1.11089545701395,13.324553190337777,210,1405.883071887779
4,1.8309366824290807,18.32097600156133,97,10,92.61993614912848,0.46567980985452895,2,6.910846353964531,1.0332764333867832,15.705744752409295,274,1463.0822591538588
1,1.7946926514770698,19.941681800590178,127,16,81.88485888559315,0.1685469507218976,4,7.371627777942733,1.0798865913507276,14.911562626466969,133,1464.287299295536
2,1.7718025619060824,16.063582457545554,117,16,90.61302393445308,0.2520833105455006,5,5.272996155051018,0.9541068177466725,14.932415943471561,388,1718.2060103388364
1,2.0807277996722213,15.75279621280791,90,3,101.2284139494837,0.15486759344029988,5,5.072019403203025,1.1208799534182434,12.159166403049438,322,1517.321434878284
3,1.9788437525644422,12.924122548444691,100,4,86.87806603822644,0.43458025581703397,1,8.989733954573834,0.93649616674106,12.332457742396958,440,1494.4226990493946
1,2.3227295021812338,19.035335169596202,109,5,92.79330454601926,0.1978424548098218,5,6.376789531318323,0.8914247121902741,10.423602723396577,568,1699.883092776431
5,2.2187649586829576,20.49463666851338,102,17,82.38043878736536,0.06257374081424795,6,6.938318720057234,1.0530610729516678,14.34065699294448,474,1795.3065280417527
3,2.060977722439108,15.215672401787055,91,8,100.09482955937553,0.2826059908129629,4,4.063926320929453,1.2317400731742185,13.108629429383909,175,1396.2256169186298
1,2.195035505646593,17.83336560918836,99,16,84.97637637625654,0.10900102783832623,2,5.4316965488319155,0.895177808423713,15.85453773475003,543,1833.929782272467
1,2.0778600177340985,15.676848026224047,124,10,88.82901908179313,0.4161205867975985,1,6.615032790403182,0.9879190824037097,16.969459569703716,244,1430.0013790322816
7,2.271568378331154,18.17501747765589,126,14,94.65943916128008,0.13237251610425688,5,7.105709643166209,1.304285184516677,13.924995706386081,382,1725.5516577069816
4,1.72893311413671,18.240562930170263,98,15,107.06942167055965,0.2816113416054251,3,3.1897304301582543,1.1142308453504883,11.301043718403205,469,1834.0861956706046
6,1.7549605625798104,21.9758299037888,110,12,83.33299923359525,0.3095208516518151,4,7.088217383291473,1.1728149416526055,12.524698934131218,268,1512.8114358690325
4,1.9344719578754968,20.259957659359365,104,12,76.97791936140462,0.1907020909551528,4,4.837077518596771,1.0429204493129098,13.834562816179261,289,1472.3152439349662
1,1.5307115474764441,15.078248416787565,89,5,69.70662092265842,0.27104999768359167,3,4.848319239233866,1.1060671000920013,12.478345252801441,248,1219.3391723849422
3,1.456594586650712,24.681467444369616,104,3,99.20647687806336,0.2525726728395974,2,6.326778673797046,0.9408217176314169,14.59438697099503,268,1439.413875868419
5,2.2323756512294457,14.18905159555094,115,9,90.82970261669831,0.06059609003144072,1,3.873482023036681,1.0778464332034048,13.061418266892309,417,1581.025600342128
4,2.0903479919759382,16.893217085460243,95,18,93.67252834342302,0.3060183887978759,3,6.639931384655641,0.9391315558902416,16.1009390095044,404,1852.341683914809
1,1.8445228701583547,12.477537361593066,104,12,88.65984025744969,0.26668536749644245,3,7.017768713973855,0.7870892777601897,14.082473912735185,441,1726.052272503182
2,2.1666464071542144,18.140067031912523,102,11,92.03220523004902,0.18013074313891947,1,6.978456200902794,1.1099278651503757,12.894910619092084,463,1694.6944280439177
7,1.7998175795727223,18.308953998666848,92,12,114.30718740961406,0.1209204253692871,2,6.979850123522963,1.241451888469857,14.592271627110852,577,1877.205432912237
5,2.235298829845181,20.187343385206812,103,12,98.52993925366629,0.039528032905486295,5,1.9245432296660168,0.9378000763129738,12.738313525037185,532,1845.0352180027264
7,1.813784404304527,15.892335725538796,91,3,81.2424970674365,0.023220987305965796,5,7.644740516935493,1.141272719836686,16.385969333207285,123,1339.410544361789
2,1.9142043576800118,21.668335616086498,105,5,93.46642162964815,0.25321453083207573,3,5.857522676161434,0.8448003547187342,15.56922327814862,192,1261.5744560050566
5,2.060549970014721,19.988323112894818,113,11,80.200429633343,0.11187388662770098,1,8.29142490568843,1.137503616534468,14.380153547541262,158,1266.0699714288899
7,2.0810002924028423,15.37080423851337,88,15,86.25983328025133,0.022475811514763813,5,8.97375390953725,1.002868932924185,15.613644730794379,495,1845.5183252635852
3,1.603947388849416,17.597148411422374,105,13,61.189744324627334,0.19288141503630316,1,7.616739903266759,1.0901031485158097,14.375678591794076,382,1459.3340495805771
6,1.994433050755514,22.491245574558782,126,6,92.42454833750486,0.22776605636896943,3,4.3322279001968464,0.7144071380638563,11.663268771376426,432,1598.0907876444312
1,1.439538514584265,14.947602878489777,104,7,99.86803601475414,0.13894374564761613,3,5.464441232975618,0.8840853037025557,13.05540674159132,365,1599.6314604419167
1,2.12824236739345,17.44315067081777,128,11,95.49584540625025,0.1994795107082043,2,8.56954800962095,0.7557302786025174,14.24927710426208,414,1656.490933100145
2,2.176883111418743,16.22118839057118,116,8,95.66737013238166,0.06729827256507587,2,5.8471918719883105,1.138924054019934,12.39062974279176,539,1760.4865626561918
6,2.1018647547150757,14.621178216589204,94,13,97.44086402839456,0.31865938984141,6,5.028685339213841,0.7259206134820512,13.640973094546366,207,1608.8697138219534
4,1.880475389382572,20.97965143638589,90,8,99.13390695060512,0.15896186901375028,1,4.342389384459084,0.891838156322305,14.677559417921673,269,1529.2815615251832
6,2.9076469231748336,13.29660364055873,110,7,76.1674797219527,0.16493602964398635,6,7.398110064905489,1.0370182513582125,13.921851653169814,265,1449.574161397673
1,1.8551999121113023,18.41260883649211,121,6,86.14517867809502,0.42555567162217117,4,4.979148712086851,0.8961683035309277,12.060286319692405,448,1538.531402830561
7,1.9542743738942228,21.072951032823394,115,4,96.58560996410463,0.43968332868204363,1,4.514038082385565,1.1214432763925688,14.71121625458611,441,1605.3770757808832
5,2.2351244381619484,15.72623911131923,125,8,88.21730408934017,0.4177092123103229,6,4.559276798860723,1.1523288970107242,14.033184575736628,168,1487.6257905051848
7,2.353840014192276,16.060551183006808,110,17,89.86047708746055,0.38865691272250835,6,3.816356462419234,1.0344949607342833,15.658240956460453,518,1953.1502834879375
4,1.8701316349725248,14.246843272110814,88,9,106.62371008000964,0.4468883399560947,2,6.135480690907554,1.0823488701876423,9.684354567285217,117,1397.1874597778697
7,1.8268932810148255,21.278173847948857,105,6,114.77931309609423,0.22795456886903287,3,7.624558441731657,0.6455125885837862,16.474769937239675,215,1606.7698594340645
